"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2011","18,394.29","18,448.40","18,505.10","18,365.94","10.76K","-0.55%"
"Jun 07, 2011","18,495.62","18,355.30","18,545.95","18,351.24","9.96K","0.41%"
"Jun 06, 2011","18,420.11","18,344.27","18,458.63","18,258.42","8.89K","0.24%"
"Jun 03, 2011","18,376.48","18,554.40","18,672.65","18,345.85","14.46K","-0.64%"
"Jun 02, 2011","18,494.18","18,425.85","18,540.67","18,390.57","15.48K","-0.62%"
"Jun 01, 2011","18,608.81","18,527.12","18,636.12","18,514.66","12.68K","0.57%"
"May 31, 2011","18,503.28","18,266.61","18,526.80","18,266.61","14.57K","1.49%"
"May 30, 2011","18,232.06","18,319.74","18,380.17","18,199.52","11.52K","-0.19%"
"May 27, 2011","18,266.10","18,105.61","18,298.64","18,087.16","12.72K","1.23%"
"May 26, 2011","18,044.64","17,917.11","18,072.61","17,862.88","12.55K","1.11%"
"May 25, 2011","17,847.24","17,976.36","17,976.36","17,786.13","10.29K","-0.91%"
"May 24, 2011","18,011.97","18,016.43","18,110.39","17,933.94","12.51K","0.10%"
"May 23, 2011","17,993.33","18,269.06","18,269.06","17,971.02","10.32K","-1.82%"
"May 20, 2011","18,326.09","18,199.96","18,429.47","18,161.38","17.10K","1.02%"
"May 19, 2011","18,141.40","18,166.64","18,198.45","18,057.82","13.30K","0.31%"
"May 18, 2011","18,086.20","18,177.32","18,218.20","18,020.79","12.35K","-0.28%"
"May 17, 2011","18,137.35","18,374.45","18,435.80","18,084.67","14.13K","-1.13%"
"May 16, 2011","18,345.03","18,492.68","18,492.68","18,319.88","9.34K","-1.01%"
"May 13, 2011","18,531.28","18,362.45","18,724.54","18,280.70","12.51K","1.07%"
"May 12, 2011","18,335.79","18,525.32","18,610.02","18,314.34","10.13K","-1.34%"
"May 11, 2011","18,584.96","18,572.61","18,622.44","18,454.93","10.08K","0.39%"
"May 10, 2011","18,512.77","18,564.95","18,689.37","18,429.06","13.16K","-0.09%"
"May 09, 2011","18,528.96","18,628.63","18,643.58","18,367.21","9.10K","0.05%"
"May 06, 2011","18,518.81","18,289.78","18,568.48","18,271.68","30.11K","1.69%"
"May 05, 2011","18,210.58","18,484.71","18,569.21","18,160.65","14.79K","-1.40%"
