"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2011","5,884.70","5,882.85","5,912.90","5,864.35","119.75M","0.56%"
"Apr 20, 2011","5,851.65","5,786.05","5,857.35","5,759.65","117.90M","1.93%"
"Apr 19, 2011","5,740.75","5,716.00","5,762.95","5,693.25","101.24M","0.20%"
"Apr 18, 2011","5,729.10","5,824.35","5,897.90","5,722.25","121.11M","-1.64%"
"Apr 15, 2011","5,824.55","5,898.75","5,907.35","5,806.45","140.59M","-1.47%"
"Apr 13, 2011","5,911.50","5,747.95","5,923.60","5,735.55","145.70M","2.17%"
"Apr 11, 2011","5,785.70","5,805.35","5,830.30","5,777.90","92.73M","-0.96%"
"Apr 08, 2011","5,842.00","5,886.75","5,926.95","5,822.00","99.86M","-0.74%"
"Apr 07, 2011","5,885.70","5,888.55","5,906.10","5,866.25","98.16M","-0.10%"
"Apr 06, 2011","5,891.75","5,908.00","5,944.45","5,868.80","125.96M","-0.31%"
"Apr 05, 2011","5,910.05","5,923.85","5,928.65","5,855.85","110.63M","0.03%"
"Apr 04, 2011","5,908.45","5,842.00","5,918.70","5,833.20","106.39M","1.41%"
"Apr 01, 2011","5,826.05","5,835.00","5,860.20","5,810.40","118.32M","-0.13%"
"Mar 31, 2011","5,833.75","5,803.05","5,872.00","5,778.65","219.44M","0.80%"
"Mar 30, 2011","5,787.65","5,755.80","5,803.15","5,753.90","133.21M","0.89%"
"Mar 29, 2011","5,736.35","5,686.50","5,770.35","5,680.70","140.48M","0.86%"
"Mar 28, 2011","5,687.25","5,645.25","5,709.10","5,643.20","130.72M","0.58%"
"Mar 25, 2011","5,654.25","5,588.65","5,667.10","5,560.95","133.45M","2.39%"
"Mar 24, 2011","5,522.40","5,501.80","5,529.00","5,496.10","115.26M","0.77%"
"Mar 23, 2011","5,480.25","5,411.40","5,484.95","5,401.95","112.04M","1.23%"
"Mar 22, 2011","5,413.85","5,390.85","5,428.15","5,376.15","94.94M","0.92%"
"Mar 21, 2011","5,364.75","5,408.75","5,413.30","5,348.20","107.18M","-0.17%"
"Mar 18, 2011","5,373.70","5,475.35","5,483.05","5,366.40","129.49M","-1.34%"
"Mar 17, 2011","5,446.65","5,455.40","5,510.05","5,435.30","135.26M","-1.17%"
"Mar 16, 2011","5,511.15","5,475.95","5,535.10","5,475.95","135.20M","1.13%"
"Mar 15, 2011","5,449.65","5,420.00","5,497.85","5,373.65","191.04M","-1.48%"
"Mar 14, 2011","5,531.50","5,436.50","5,537.30","5,434.25","173.52M","1.58%"
"Mar 11, 2011","5,445.45","5,456.15","5,502.70","5,411.55","133.44M","-0.89%"
"Mar 10, 2011","5,494.40","5,516.10","5,516.30","5,468.45","135.73M","-0.66%"
"Mar 09, 2011","5,531.00","5,542.40","5,563.30","5,477.45","149.82M","0.18%"
"Mar 08, 2011","5,520.80","5,466.10","5,530.55","5,464.75","127.51M","1.06%"
"Mar 07, 2011","5,463.15","5,490.05","5,491.25","5,408.45","134.58M","-1.36%"
"Mar 04, 2011","5,538.75","5,586.20","5,608.20","5,524.10","162.01M","0.05%"
"Mar 03, 2011","5,536.20","5,478.45","5,570.75","5,468.25","218.80M","0.25%"
"Mar 01, 2011","5,522.30","5,382.00","5,533.05","5,373.55","210.50M","3.54%"
"Feb 28, 2011","5,333.25","5,330.15","5,477.00","5,308.60","317.25M","0.56%"
"Feb 25, 2011","5,303.55","5,321.05","5,338.20","5,232.75","193.54M","0.78%"
"Feb 24, 2011","5,262.70","5,408.75","5,423.40","5,242.50","259.35M","-3.21%"
"Feb 23, 2011","5,437.35","5,452.45","5,495.20","5,427.55","173.58M","-0.58%"
"Feb 22, 2011","5,469.20","5,504.40","5,519.45","5,437.30","166.27M","-0.90%"
"Feb 21, 2011","5,518.60","5,456.60","5,526.25","5,413.10","137.63M","1.09%"
"Feb 18, 2011","5,458.95","5,557.55","5,599.25","5,441.95","180.91M","-1.58%"
"Feb 17, 2011","5,546.45","5,501.70","5,553.00","5,463.40","143.67M","1.18%"
"Feb 16, 2011","5,481.70","5,467.60","5,504.80","5,460.35","140.52M","0.01%"
"Feb 15, 2011","5,481.00","5,467.75","5,506.50","5,408.35","170.46M","0.46%"
"Feb 14, 2011","5,456.00","5,340.25","5,463.80","5,340.25","175.71M","2.75%"
"Feb 11, 2011","5,310.00","5,219.65","5,319.45","5,177.70","211.25M","1.61%"
"Feb 10, 2011","5,225.80","5,246.05","5,272.60","5,196.80","225.24M","-0.53%"
"Feb 09, 2011","5,253.55","5,293.05","5,339.45","5,225.65","246.53M","-1.11%"
"Feb 08, 2011","5,312.55","5,432.35","5,432.35","5,303.40","155.60M","-1.55%"
"Feb 07, 2011","5,396.00","5,430.15","5,440.35","5,376.95","150.45M","0.00%"
"Feb 04, 2011","5,395.75","5,519.90","5,556.30","5,369.05","187.82M","-2.37%"
"Feb 03, 2011","5,526.75","5,430.45","5,532.65","5,418.00","154.23M","1.74%"
"Feb 02, 2011","5,432.00","5,469.55","5,490.60","5,415.65","172.20M","0.27%"
"Feb 01, 2011","5,417.20","5,537.30","5,539.15","5,402.00","171.23M","-1.61%"
"Jan 31, 2011","5,505.90","5,452.55","5,526.85","5,416.65","177.85M","-0.11%"
"Jan 28, 2011","5,512.15","5,614.00","5,614.40","5,459.55","173.11M","-1.64%"
"Jan 27, 2011","5,604.30","5,725.30","5,726.10","5,594.95","201.50M","-1.46%"
"Jan 25, 2011","5,687.40","5,763.30","5,801.55","5,680.65","126.13M","-0.97%"
"Jan 24, 2011","5,743.25","5,717.10","5,756.00","5,697.75","108.83M","0.82%"
"Jan 21, 2011","5,696.50","5,692.05","5,717.55","5,674.50","119.99M","-0.26%"
"Jan 20, 2011","5,711.60","5,656.00","5,729.45","5,634.50","130.50M","0.36%"
"Jan 19, 2011","5,691.05","5,737.35","5,747.65","5,662.55","146.72M","-0.58%"
"Jan 18, 2011","5,724.05","5,682.55","5,730.50","5,671.25","141.01M","1.23%"
"Jan 17, 2011","5,654.75","5,648.80","5,696.15","5,624.15","148.50M","0.00%"
"Jan 14, 2011","5,654.55","5,752.10","5,833.65","5,639.65","174.57M","-1.69%"
"Jan 13, 2011","5,751.90","5,850.75","5,857.75","5,736.70","175.35M","-1.90%"
"Jan 12, 2011","5,863.25","5,800.05","5,874.20","5,711.30","188.12M","1.90%"
"Jan 11, 2011","5,754.10","5,767.95","5,842.60","5,698.20","161.26M","-0.15%"
"Jan 10, 2011","5,762.85","5,901.30","5,907.25","5,740.95","156.95M","-2.40%"
"Jan 07, 2011","5,904.60","6,030.90","6,051.20","5,883.60","171.81M","-2.38%"
"Jan 06, 2011","6,048.25","6,107.00","6,116.15","6,022.30","152.34M","-0.52%"
"Jan 05, 2011","6,079.80","6,141.35","6,141.35","6,062.35","139.61M","-1.08%"
"Jan 04, 2011","6,146.35","6,172.75","6,181.05","6,124.40","181.73M","-0.18%"
"Jan 03, 2011","6,157.60","6,177.45","6,178.55","6,147.20","96.03M","0.38%"
"Dec 31, 2010","6,134.50","6,105.10","6,147.30","6,103.55","113.76M","0.54%"
"Dec 30, 2010","6,101.85","6,062.35","6,106.40","6,062.35","194.35M","0.68%"
"Dec 29, 2010","6,060.35","6,005.15","6,067.55","6,002.85","93.00M","1.07%"
"Dec 28, 2010","5,996.00","6,005.35","6,010.90","5,982.25","90.72M","-0.04%"
"Dec 27, 2010","5,998.10","6,013.30","6,045.75","5,991.10","95.96M","-0.22%"
"Dec 24, 2010","6,011.60","5,940.25","6,017.35","5,940.25","123.58M","0.53%"
"Dec 23, 2010","5,980.00","6,005.90","6,006.45","5,964.60","85.46M","-0.07%"
"Dec 22, 2010","5,984.40","6,019.00","6,023.80","5,958.00","118.82M","-0.27%"
"Dec 21, 2010","6,000.65","5,960.40","6,007.45","5,960.05","126.54M","0.90%"
"Dec 20, 2010","5,947.05","5,926.85","5,985.00","5,900.25","121.82M","-0.03%"
"Dec 16, 2010","5,948.75","5,910.55","5,956.15","5,855.05","149.83M","0.96%"
"Dec 15, 2010","5,892.30","5,931.15","5,942.75","5,865.80","126.32M","-0.87%"
"Dec 14, 2010","5,944.10","5,928.70","5,953.95","5,888.75","125.30M","0.62%"
"Dec 13, 2010","5,907.65","5,882.65","5,913.80","5,795.90","138.23M","0.86%"
"Dec 10, 2010","5,857.35","5,761.00","5,865.50","5,721.15","167.49M","1.58%"
"Dec 09, 2010","5,766.50","5,924.25","5,927.30","5,742.30","169.51M","-2.32%"
"Dec 08, 2010","5,903.70","5,954.40","5,960.00","5,878.60","122.57M","-1.22%"
"Dec 07, 2010","5,976.55","5,995.05","6,001.00","5,939.70","145.41M","-0.26%"
"Dec 06, 2010","5,992.25","6,033.65","6,069.45","5,981.70","145.32M","-0.01%"
"Dec 03, 2010","5,992.80","6,013.35","6,025.40","5,964.25","165.38M","-0.31%"
"Dec 02, 2010","6,011.70","6,023.05","6,029.50","5,980.60","197.38M","0.85%"
"Dec 01, 2010","5,960.90","5,871.00","5,971.00","5,865.55","173.36M","1.67%"
"Nov 30, 2010","5,862.70","5,811.60","5,892.25","5,768.35","217.96M","0.56%"
"Nov 29, 2010","5,830.00","5,789.95","5,843.15","5,754.70","155.07M","1.36%"
"Nov 26, 2010","5,751.95","5,828.55","5,838.50","5,690.35","287.20M","-0.82%"
"Nov 25, 2010","5,799.75","5,883.95","5,907.10","5,780.35","371.67M","-1.13%"
"Nov 24, 2010","5,865.75","5,946.80","5,976.65","5,833.60","125.85M","-1.16%"
"Nov 23, 2010","5,934.75","5,971.55","5,973.35","5,824.95","158.87M","-1.25%"
"Nov 22, 2010","6,010.00","5,920.90","6,020.25","5,905.15","123.42M","2.03%"
"Nov 19, 2010","5,890.30","6,011.30","6,013.25","5,863.95","150.74M","-1.81%"
"Nov 18, 2010","5,998.80","6,075.95","6,076.20","5,906.75","190.22M","0.17%"
"Nov 16, 2010","5,988.70","6,143.45","6,144.05","5,970.60","139.19M","-2.17%"
"Nov 15, 2010","6,121.60","6,079.90","6,128.75","6,039.40","124.27M","0.82%"
"Nov 12, 2010","6,071.65","6,182.30","6,202.50","6,056.75","155.20M","-1.98%"
"Nov 11, 2010","6,194.25","6,286.35","6,296.55","6,179.50","169.30M","-1.30%"
"Nov 10, 2010","6,275.70","6,303.20","6,307.65","6,269.25","125.61M","-0.41%"
"Nov 09, 2010","6,301.55","6,281.00","6,310.90","6,243.55","139.82M","0.45%"
"Nov 08, 2010","6,273.20","6,335.25","6,335.90","6,265.35","153.93M","-0.62%"
"Nov 05, 2010","6,312.45","6,321.85","6,338.50","6,303.10","27.18M","0.49%"
"Nov 04, 2010","6,281.80","6,209.60","6,290.15","6,199.35","125.03M","1.97%"
"Nov 03, 2010","6,160.50","6,150.60","6,182.50","6,146.80","111.32M","0.68%"
"Nov 02, 2010","6,119.00","6,127.55","6,138.10","6,094.40","122.09M","0.02%"
"Nov 01, 2010","6,117.55","6,092.30","6,132.40","6,084.75","128.91M","1.66%"
"Oct 29, 2010","6,017.70","6,021.15","6,032.65","5,937.10","137.88M","0.50%"
"Oct 28, 2010","5,987.70","6,039.95","6,071.10","5,968.10","228.79M","-0.41%"
"Oct 27, 2010","6,012.65","6,075.45","6,075.95","5,987.55","116.71M","-1.14%"
"Oct 26, 2010","6,082.00","6,116.30","6,120.25","6,074.65","113.45M","-0.39%"
"Oct 25, 2010","6,105.80","6,101.25","6,151.30","6,094.60","123.12M","0.66%"
"Oct 22, 2010","6,066.05","6,113.40","6,121.10","6,041.35","109.38M","-0.58%"
"Oct 21, 2010","6,101.50","6,008.90","6,113.50","5,984.90","123.10M","2.00%"
"Oct 20, 2010","5,982.10","6,002.95","6,038.10","5,966.75","105.11M","-0.75%"
"Oct 19, 2010","6,027.30","6,114.45","6,127.05","6,008.15","130.46M","-0.80%"
"Oct 18, 2010","6,075.95","6,112.75","6,115.10","5,985.10","138.75M","0.22%"
