Date,Open,High,Low,Close,Adj Close,Volume
2007-01-25,280.125000,281.837006,277.674988,280.125000,81.189339,6798352
2007-01-29,279.375000,281.875000,276.544006,280.549988,81.312515,6550912
2007-01-31,280.000000,281.875000,277.669006,280.912994,81.417725,9171104
2007-02-01,281.250000,284.375000,279.794006,283.618988,82.201988,3367264
2007-02-02,284.375000,285.000000,280.263000,283.194000,82.078835,9842920
2007-02-05,279.375000,284.549988,279.375000,283.662994,82.214775,7299072
2007-02-06,283.750000,285.868988,282.500000,284.118988,82.346931,6560944
2007-02-07,281.944000,296.250000,281.944000,294.631012,85.393646,14498464
2007-02-08,295.625000,297.500000,291.700012,296.712006,85.996803,6571448
2007-02-09,296.799988,299.750000,292.250000,295.156006,85.545792,6304808
2007-02-12,291.875000,296.212006,288.888000,293.906006,85.183517,4868088
2007-02-13,293.875000,294.812012,284.575012,288.024994,83.479004,7561016
2007-02-14,285.274994,289.375000,282.712006,285.580994,82.770676,9642200
2007-02-15,290.612000,301.875000,286.875000,297.868988,86.332115,9978848
2007-02-19,297.750000,300.000000,295.368988,297.013000,86.084023,3086648
2007-02-20,296.881012,298.475006,293.875000,294.993988,85.498848,2471920
2007-02-21,295.000000,296.500000,287.763000,288.862000,83.721603,9348720
2007-02-22,288.500000,291.875000,283.750000,285.937988,82.874138,10388800
2007-02-23,284.750000,288.875000,276.524994,279.712006,81.069641,11559176
2007-02-26,279.250000,280.875000,269.375000,277.269012,80.361588,11670248
2007-02-27,278.750000,278.750000,270.656006,273.375000,79.232956,8956896
2007-02-28,272.500000,272.500000,256.250000,259.694000,75.267784,25000392
2007-03-01,260.000000,273.118988,259.500000,269.894012,78.224068,13634656
2007-03-02,271.700012,272.375000,259.375000,261.687988,75.845680,12168104
2007-03-05,259.737000,259.737000,250.000000,250.893997,72.717247,13950768
2007-03-06,251.625000,269.212006,251.625000,264.306000,76.604477,14552864
2007-03-07,270.924988,270.924988,256.287994,260.669006,75.550346,10270272
2007-03-08,261.250000,268.250000,260.156006,266.968994,77.376297,12261208
2007-03-09,266.294006,268.750000,262.044006,265.118988,76.840096,8085208
2007-03-12,265.000000,267.993988,262.500000,264.412994,76.635475,9065944
2007-03-13,264.625000,266.243988,258.725006,263.131012,76.263916,11465824
2007-03-14,259.375000,261.212006,251.531006,252.500000,73.182716,16009280
2007-03-15,256.375000,263.112000,254.500000,259.924988,75.334724,17149040
2007-03-16,261.250000,263.125000,253.125000,255.931000,74.177116,7567776
2007-03-19,258.750000,261.468994,255.899994,260.906006,75.619041,5461816
2007-03-20,262.500000,263.587006,256.250000,256.987000,74.483208,5378584
2007-03-21,257.700012,262.500000,256.044006,261.743988,75.861916,9258712
2007-03-22,263.750000,268.125000,262.500000,264.881012,76.771133,7974344
